experiment,dataset,protocol_id,class_name,precision,recall,f1,support
E0,iscx_tor,medium_seed2022,Browsing,0.6787564766839378,0.655,0.6666666666666666,200
E0,iscx_tor,medium_seed2022,Email,0.9166666666666666,0.8148148148148148,0.8627450980392157,54
E0,iscx_tor,medium_seed2022,FTP,0.945273631840796,0.95,0.9476309226932669,200
E0,iscx_tor,medium_seed2022,Facebook,0.6140350877192983,0.4117647058823529,0.49295774647887325,85
E0,iscx_tor,medium_seed2022,Hangouts,0.6666666666666666,0.43478260869565216,0.5263157894736842,69
E0,iscx_tor,medium_seed2022,Spotify,0.8538461538461538,0.7551020408163265,0.8014440433212996,147
E0,iscx_tor,medium_seed2022,Vimeo,0.42168674698795183,0.6907894736842105,0.5236907730673317,152
E0,iscx_tor,medium_seed2022,YouTube,0.6195652173913043,0.57,0.59375,200
E0,iscx_vpn,medium_seed2022,AIM,0.8085106382978723,0.7169811320754716,0.76,53
E0,iscx_vpn,medium_seed2022,BitTorrent,0.979381443298969,0.95,0.9644670050761421,100
E0,iscx_vpn,medium_seed2022,Email,0.8018867924528302,0.85,0.8252427184466019,200
E0,iscx_vpn,medium_seed2022,FTPS,0.8040201005025126,0.8,0.8020050125313283,200
E0,iscx_vpn,medium_seed2022,Facebook,0.837696335078534,0.8,0.8184143222506394,200
E0,iscx_vpn,medium_seed2022,Gmail,0.7368421052631579,0.7777777777777778,0.7567567567567568,54
E0,iscx_vpn,medium_seed2022,ICQ,0.7058823529411765,0.6792452830188679,0.6923076923076923,53
E0,iscx_vpn,medium_seed2022,Netflix,0.646551724137931,0.635593220338983,0.6410256410256411,118
E0,iscx_vpn,medium_seed2022,SCP,0.8155339805825242,0.84,0.8275862068965517,200
E0,iscx_vpn,medium_seed2022,SFTP,0.875,0.6774193548387096,0.7636363636363637,31
E0,iscx_vpn,medium_seed2022,Spotify,0.5888888888888889,0.6708860759493671,0.6272189349112426,79
E0,iscx_vpn,medium_seed2022,Vimeo,0.6875,0.7154471544715447,0.701195219123506,123
E0,iscx_vpn,medium_seed2022,VoIPBuster,0.8341968911917098,0.805,0.8193384223918575,200
E0,ustc,A-2,Gmail,0.9524861878453039,0.9988412514484357,0.9751131221719457,863
E0,ustc,A-2,FTP,0.9997030878859857,0.9998020389983173,0.999752560993715,10103
E0,ustc,A-2,Nsis-ay,0.965742251223491,0.9752883031301482,0.9704918032786886,607
E0,ustc,A-2,Facetime,1.0,1.0,1.0,600
E0,ustc,A-2,Weibo,0.9997489329651017,0.9967459324155195,0.9982451742291301,3995
E0,ustc,A-2,Cridex,1.0,1.0,1.0,1638
E0,ustc,A-2,Zeus,0.9936421435059037,0.9972652689152234,0.9954504094631483,1097
