feature,setting,runs,val_accuracy_mean,val_accuracy_std,val_macro_f1_mean,val_macro_f1_std,val_weighted_f1_mean,val_weighted_f1_std,minority_recall_mean,minority_recall_std,weak_run_count_macro_f1_lt_0_35,worst_val_macro_f1,worst_val_weighted_f1
f0,Low,5,0.8177940707008273,0.09586837016192423,0.5945335090082576,0.14947111211930136,0.7847626192440281,0.12164110534097054,0.5982355032122153,0.24706228550098785,0,0.44513966513148184,0.5769585608749114
f0,Medium,5,0.7598802642341971,0.1848363408493807,0.5597005672139611,0.2691972320649914,0.7188037241976317,0.21855005429027674,0.4434134514020663,0.3419226238772562,2,0.2844437563412875,0.5091032819742471
f0,High,5,0.8214546627955814,0.1566042051133779,0.6902673203070903,0.16018349100012716,0.8089089896132895,0.1552749479422182,0.6712256741910012,0.24577827917502104,0,0.42905626548717474,0.5853169851021206
f0,Overall,15,0.799709665910202,0.14229038129858776,0.614833798843103,0.19412440992147123,0.7708251110183163,0.16222521381111926,0.5709582096017609,0.2788698707451298,2,0.2844437563412875,0.5091032819742471
f1,Low,5,0.8143066699332209,0.10331112081911206,0.5771899225530258,0.1288869955533529,0.788425632974336,0.10157371971730016,0.5770459131844331,0.16208250142402378,0,0.39520879912624146,0.6292503201040066
f1,Medium,5,0.6958910798123185,0.3355113097977479,0.5339726131373148,0.3126282130562279,0.6537237206550724,0.38305741307771446,0.45694286316677213,0.3120440396609356,1,0.04210892639638072,0.05095180093962066
f1,High,5,0.8329205708702279,0.13931978278114193,0.7263612695603745,0.17924738376226496,0.8093096970176518,0.17851801147284574,0.7434335087155513,0.19010959814289377,0,0.4773494174997935,0.5395250124970801
f1,Overall,15,0.7810394402052558,0.2114317066534416,0.6125079350835717,0.22164969628696468,0.7504863502156867,0.24304444620104573,0.5924740950222521,0.24583864597621946,1,0.04210892639638072,0.05095180093962066
f2,Low,5,0.8361324954852634,0.0706877048936509,0.6474530723013607,0.12956731985040384,0.8249608820716127,0.06987434577643635,0.6558973380519008,0.220001333785384,0,0.4441893010815785,0.7263191374677005
f2,Medium,5,0.7962575430731228,0.18118921321163522,0.6214428980820244,0.1514627583595292,0.7629367036888512,0.21152019014263365,0.4894855576639259,0.2883550880882128,0,0.37337603526978985,0.5137284178160901
f2,High,5,0.8278187062493684,0.14573854923468013,0.6900120511941437,0.18256422773389439,0.8007377842512413,0.16710599370710455,0.6919113118750861,0.2406771389984512,0,0.5297166064897846,0.6115648462591533
f2,Overall,15,0.8200695816025849,0.13111865562270084,0.652969340525843,0.1474100113324313,0.7962117900039017,0.15117672820566963,0.6124314025303043,0.24992985262603534,0,0.37337603526978985,0.5137284178160901
f3,Low,5,0.8325394730761116,0.05927804063749937,0.6703616428382188,0.11147967435018633,0.824775018031916,0.05562924506605275,0.7043196230771701,0.20879670809541387,0,0.5423218391233966,0.74518509521024
f3,Medium,5,0.7744046330370804,0.1811302337117713,0.5576543984367706,0.2058823442294853,0.7378407162851385,0.20797383967462524,0.39569470799072315,0.31073946950458203,1,0.32712073449443996,0.5079273712344015
f3,High,5,0.8301726063018746,0.14215316213383675,0.6866003053553092,0.1808522504550935,0.7968629609523903,0.17090474499805539,0.6795878181836437,0.23554216588569948,0,0.4437167721049036,0.6074842912185177
f3,Overall,15,0.8123722374716889,0.1300944229144993,0.6382054488767662,0.16890697971845653,0.7864928984231483,0.15163987403451648,0.5932007164171791,0.27731294998170136,1,0.32712073449443996,0.5079273712344015
